,State,Residents.Population,Staff.Population,Date
0,Alabama,18279.0,3792.0,dec2021
1,Alaska,4729.0,1481.0,dec2021
2,Arizona,34229.0,8735.0,dec2021
3,Arkansas,16698.0,5024.0,dec2021
4,California,99801.0,65759.0,dec2021
5,Colorado,14271.0,6281.0,dec2021
6,Connecticut,9531.0,6155.0,dec2021
7,Delaware,4556.0,,dec2021
8,District of Columbia,,,dec2021
9,Federal,148222.0,37127.0,dec2021
10,Florida,81168.0,27219.0,dec2021
11,Georgia,46532.0,6915.0,dec2021
12,Hawaii,4126.0,2100.0,dec2021
13,ICE,21462.0,,dec2021
14,Idaho,8226.0,1982.0,dec2021
15,Illinois,28047.0,12503.0,dec2021
16,Indiana,23332.0,5357.0,dec2021
17,Iowa,8099.0,2396.0,dec2021
18,Kansas,8328.0,3153.0,dec2021
19,Kentucky,9751.0,2614.0,dec2021
20,Louisiana,15565.0,,dec2021
21,Maine,1492.0,1124.0,dec2021
22,Maryland,17094.0,6211.0,dec2021
23,Massachusetts,6002.0,4764.0,dec2021
24,Michigan,32255.0,11862.0,dec2021
25,Minnesota,,4340.0,dec2021
26,Mississippi,16984.0,1699.0,dec2021
27,Missouri,22939.0,9488.0,dec2021
28,Montana,4087.0,1308.0,dec2021
29,Nebraska,5304.0,2132.0,dec2021
30,Nevada,10317.0,2648.0,dec2021
31,New Hampshire,2189.0,830.0,dec2021
32,New Jersey,12538.0,8027.0,dec2021
33,New Mexico,5877.0,2378.0,dec2021
34,New York,31412.0,28019.0,dec2021
35,North Carolina,29439.0,14053.0,dec2021
36,North Dakota,1527.0,910.0,dec2021
37,Ohio,43337.0,14100.0,dec2021
38,Oklahoma,21315.0,4187.0,dec2021
39,Oregon,12020.0,4611.0,dec2021
40,Pennsylvania,36980.0,15017.0,dec2021
41,Rhode Island,2275.0,1383.0,dec2021
42,South Carolina,15197.0,4755.0,dec2021
43,South Dakota,3462.0,695.0,dec2021
44,Tennessee,19998.0,5543.0,dec2021
45,Texas,133024.0,35528.0,dec2021
46,Utah,5602.0,2342.0,dec2021
47,Vermont,1331.0,988.0,dec2021
48,Virginia,24738.0,11697.0,dec2021
49,Washington,13218.0,8934.0,dec2021
50,West Virginia,4632.0,1850.0,dec2021
51,Wisconsin,20088.0,9434.0,dec2021
52,Wyoming,2189.0,1000.0,dec2021
